Original another basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.83,279.5, [0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,10,10,10,15,18,16,17,18,20,18, 17.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.07,295.58, [0.0,0,1,0,0,6,1,3,8,5,9,8,10,10,9,10,10,10,12,16,17,15,16,19,19,19,20,15,17, 17.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.33,266.36, [0.0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,7,3,9,11,13,17,13,16,15,19,16, 15.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,320.9, [0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,294.67, [0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,295.74, [0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.07,315.58, [0.0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,2,2,4,5,5,8,9,10,18,9,18,20,18, 17.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.27,297.41, [0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,8,7,7, 10.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,351.95, [0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.77,340.33, [2.0,0,1,0,0,0,1,1,1,0,2,4,3,2,5,3,4,3,6,7,7,7,8,9,9,11,9,13,14, 11.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.07,298.39, [4.0,2,1,2,3,2,1,1,2,3,3,2,5,6,8,13,16,19,19,15,12,15,16,20,16,20,17,20,19, 20.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,276.95, [0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.03,296.46, [0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,4,4,8,10,10,10,10,10,10,12,11,15,15, 17.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8,298.45, [0.0,3,0,0,0,1,2,4,4,4,4,0,2,5,9,6,8,10,9,11,10,9,10,10,11,14,13,13,16, 16.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.33,257.82, [0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,3,3,6,11,7,12,12, 12.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,280.72, [0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.43,349.23, [4.0,1,4,5,6,10,6,9,9,10,10,10,10,12,14,18,16,17,18,17,17,15,15,16,16,16,18,16,19, 19.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,319.39, [0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, 5.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.63,257.95, [1.0,0,0,0,0,1,2,1,1,1,1,0,2,1,2,1,2,3,4,7,5,8,8,9,14,8,12,14,16, 15.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.27,283.95, [0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2, 3.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6,346.46, [0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,8,8,10,7,14,18,19, 19.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.6,306.53, [0.0,0,0,0,0,0,0,0,0,0,1,3,5,10,8,10,10,10,10,11,13,18,18,18,17,18,20,22,18, 18.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.23,313.06, [0.0,0,0,0,1,0,0,0,0,0,0,0,5,13,13,15,14,14,15,14,16,16,18,17,19,19,17,16,18, 17.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.87,295.77, [0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,5,5,7,7,10,11,9,8,8,13,13, 15.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,258.4, [0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,255.09, [0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.53,300.69, [0.0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,8,8,10,10,15,15,17,16,17,17,15,18,17,18, 18.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,326.01, [0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.8,271.03, [5.0,2,2,3,0,3,3,4,5,4,5,9,10,15,19,18,15,6,16,19,16,20,20,15,20,20,20,20,20, 20.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.53,311.2, [0.0,3,0,0,0,5,0,5,6,8,10,10,10,10,13,14,16,17,21,17,16,18,18,18,19,17,19,19,19, 18.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last working another basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.83,712.64, [0.0,0,0,0,0,0,0,1,2,3,7,4,8,13,14,8,15,10,11,14,15,16,14,16,16,17,13,13,18, 17.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.27,726.72, [0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4,5,4,7,6,9,10,10,1,13,13, 11.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1,703.55, [0.0,0,0,0,0,0,0,0,1,0,1,3,14,9,13,17,16,17,16,18,19,17,17,17,19,17,20,15,18, 19.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.07,784.42, [1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.33,741.14, [0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,5,10,10,10,12, 12.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.03,742.54, [0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,3,2,7,10,8,10,10,10,11,11,12, 17.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,733, [0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.27,721.53, [0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,5,10,10,7,10,13,18,16,16, 19.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6,771.73, [1.0,2,0,2,1,5,2,3,5,6,7,6,7,8,8,10,10,9,6,10,10,9,10,10,10,11,13,15,17, 15.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.53,794.87, [0.0,0,0,0,0,0,0,0,0,1,2,1,2,3,5,7,9,7,10,10,10,14,16,17,18,18,21,17,18, 20.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.93,732.41, [0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,7, 10.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,772.56, [0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,756.42, [0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3,745.7, [0.0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,1,2,2,3,5,3,8,4,4,7,8,7, 8.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.27,768.63, [0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,9,10,12,15,17,17,16,17,16, 17.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,748.54, [0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4,784.03, [1.0,4,0,1,2,1,0,1,2,3,1,4,1,1,2,2,2,1,2,2,2,5,4,6,4,8,10,10,10, 10.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,759.22, [0.0,0,0,0,0,0,0,0,0,0,0,2,2,7,10,10,12,14,16,16,17,17,18,17,19,19,20,18,16, 20.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.23,798.94, [1.0,0,0,1,1,1,0,0,0,1,0,1,8,9,1,7,8,9,9,11,12,10,10,13,10,11,11,15,15, 12.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.93,719.1, [0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,4,7, 6.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.9,743.15, [1.0,1,1,1,1,1,1,1,2,2,2,4,8,8,13,15,12,15,11,16,15,13,12,19,15,13,13,10,7, 4.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,747.97, [1.0,1,2,1,1,2,2,1,0,0,2,1,2,2,0,2,0,3,1,2,2,1,1,0,0,3,0,0,0, 0.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.83,760.44, [0.0,0,0,0,0,0,0,0,0,0,0,6,10,8,10,11,14,18,16,18,19,18,20,18,17,19,18,19,17, 19.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.37,772.34, [0.0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,2,3,6,10,14,12,10,11,13,9,11,12, 10.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.33,743.59, [0.0,0,0,0,2,0,7,3,4,9,8,9,10,7,16,10,12,12,13,14,10,18,13,13,13,11,17,13,17, 19.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,740.85, [0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1, 1.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.73,768.52, [0.0,0,0,1,0,0,0,0,6,5,4,8,7,8,16,7,11,13,11,11,16,14,17,13,16,14,20,15,14, 15.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.7,790.84, [0.0,0,0,0,0,0,6,4,3,7,12,7,8,10,11,11,15,13,17,16,13,15,14,15,15,18,15,16,18, 12.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.4,779.78, [4.0,8,0,4,7,7,10,10,10,10,6,10,11,13,12,14,15,16,17,16,16,17,18,16,17,17,17,18,19, 17.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.13,768.89, [0.0,0,0,0,0,0,0,0,1,0,8,3,6,3,9,8,8,4,5,4,7,10,8,9,10,10,9,10,11, 11.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Another basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
